slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s005:instance_008:r09:o2:no_cut,5,instance_008,9,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.408924,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004608,12.836628,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_09/2_no_cut/attempt_01
s005:instance_008:r10:o1:no_cut,5,instance_008,10,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.393766,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004608,12.840927,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_10/1_no_cut/attempt_01
s005:instance_008:r10:o2:live,5,instance_008,10,no_cut/live,2,live,EXACT_CLOSED,0,0.404084,True,True,True,dfaedf6d273c5c56,2.100262,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004555,12.832714,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_008_logical_graph/repeat_10/2_live/attempt_01
s005:instance_009:r01:o1:no_cut,5,instance_009,1,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.382448,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004604,12.832474,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_01/1_no_cut/attempt_01
s005:instance_009:r01:o2:live,5,instance_009,1,no_cut/live,2,live,EXACT_CLOSED,0,0.370623,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004604,12.830345,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_01/2_live/attempt_01
s005:instance_009:r02:o1:live,5,instance_009,2,live/no_cut,1,live,EXACT_CLOSED,0,0.381185,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004444,12.833374,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_02/1_live/attempt_01
s005:instance_009:r02:o2:no_cut,5,instance_009,2,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.406417,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004456,12.829128,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_02/2_no_cut/attempt_01
s005:instance_009:r03:o1:no_cut,5,instance_009,3,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.387901,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004517,12.825706,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_03/1_no_cut/attempt_01
s005:instance_009:r03:o2:live,5,instance_009,3,no_cut/live,2,live,EXACT_CLOSED,0,0.39773,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004612,12.829865,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_03/2_live/attempt_01
s005:instance_009:r04:o1:live,5,instance_009,4,live/no_cut,1,live,EXACT_CLOSED,0,0.381489,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004665,12.827953,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_04/1_live/attempt_01
