slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s010:instance_002:r01:o2:no_cut,10,instance_002,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_003:r01:o1:no_cut,10,instance_003,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_003:r01:o2:live,10,instance_003,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_004:r01:o1:live,10,instance_004,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_004:r01:o2:no_cut,10,instance_004,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_005:r01:o1:no_cut,10,instance_005,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_005:r01:o2:live,10,instance_005,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_006:r01:o1:live,10,instance_006,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_006:r01:o2:no_cut,10,instance_006,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_007:r01:o1:no_cut,10,instance_007,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_007:r01:o2:live,10,instance_007,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008:r01:o1:live,10,instance_008,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_008:r01:o2:no_cut,10,instance_008,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009:r01:o1:no_cut,10,instance_009,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_009:r01:o2:live,10,instance_009,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010:r01:o1:live,10,instance_010,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_010:r01:o2:no_cut,10,instance_010,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011:r01:o1:no_cut,10,instance_011,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_011:r01:o2:live,10,instance_011,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012:r01:o1:live,10,instance_012,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_012:r01:o2:no_cut,10,instance_012,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013:r01:o1:no_cut,10,instance_013,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_013:r01:o2:live,10,instance_013,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014:r01:o1:live,10,instance_014,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_014:r01:o2:no_cut,10,instance_014,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015:r01:o1:no_cut,10,instance_015,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_015:r01:o2:live,10,instance_015,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016:r01:o1:live,10,instance_016,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_016:r01:o2:no_cut,10,instance_016,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_017:r01:o1:no_cut,10,instance_017,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_017:r01:o2:live,10,instance_017,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_018:r01:o1:live,10,instance_018,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_018:r01:o2:no_cut,10,instance_018,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_019:r01:o1:no_cut,10,instance_019,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_019:r01:o2:live,10,instance_019,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_020:r01:o1:live,10,instance_020,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s010:instance_020:r01:o2:no_cut,10,instance_020,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_001:r01:o1:no_cut,20,instance_001,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_001:r01:o2:live,20,instance_001,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_002:r01:o1:live,20,instance_002,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_002:r01:o2:no_cut,20,instance_002,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_003:r01:o1:no_cut,20,instance_003,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_003:r01:o2:live,20,instance_003,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_004:r01:o1:live,20,instance_004,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_004:r01:o2:no_cut,20,instance_004,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_005:r01:o1:no_cut,20,instance_005,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_005:r01:o2:live,20,instance_005,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_006:r01:o1:live,20,instance_006,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_006:r01:o2:no_cut,20,instance_006,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_007:r01:o1:no_cut,20,instance_007,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_007:r01:o2:live,20,instance_007,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_008:r01:o1:live,20,instance_008,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_008:r01:o2:no_cut,20,instance_008,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_009:r01:o1:no_cut,20,instance_009,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_009:r01:o2:live,20,instance_009,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_010:r01:o1:live,20,instance_010,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_010:r01:o2:no_cut,20,instance_010,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_011:r01:o1:no_cut,20,instance_011,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_011:r01:o2:live,20,instance_011,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_012:r01:o1:live,20,instance_012,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_012:r01:o2:no_cut,20,instance_012,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_013:r01:o1:no_cut,20,instance_013,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_013:r01:o2:live,20,instance_013,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_014:r01:o1:live,20,instance_014,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_014:r01:o2:no_cut,20,instance_014,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_015:r01:o1:no_cut,20,instance_015,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_015:r01:o2:live,20,instance_015,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_016:r01:o1:live,20,instance_016,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_016:r01:o2:no_cut,20,instance_016,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_017:r01:o1:no_cut,20,instance_017,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_017:r01:o2:live,20,instance_017,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_018:r01:o1:live,20,instance_018,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_018:r01:o2:no_cut,20,instance_018,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_019:r01:o1:no_cut,20,instance_019,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_019:r01:o2:live,20,instance_019,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_020:r01:o1:live,20,instance_020,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s020:instance_020:r01:o2:no_cut,20,instance_020,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_001:r01:o1:no_cut,30,instance_001,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_001:r01:o2:live,30,instance_001,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_002:r01:o1:live,30,instance_002,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_002:r01:o2:no_cut,30,instance_002,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_003:r01:o1:no_cut,30,instance_003,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_003:r01:o2:live,30,instance_003,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_004:r01:o1:live,30,instance_004,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_004:r01:o2:no_cut,30,instance_004,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_005:r01:o1:no_cut,30,instance_005,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_005:r01:o2:live,30,instance_005,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_006:r01:o1:live,30,instance_006,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_006:r01:o2:no_cut,30,instance_006,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_007:r01:o1:no_cut,30,instance_007,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_007:r01:o2:live,30,instance_007,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_008:r01:o1:live,30,instance_008,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_008:r01:o2:no_cut,30,instance_008,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_009:r01:o1:no_cut,30,instance_009,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_009:r01:o2:live,30,instance_009,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_010:r01:o1:live,30,instance_010,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_010:r01:o2:no_cut,30,instance_010,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_011:r01:o1:no_cut,30,instance_011,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_011:r01:o2:live,30,instance_011,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_012:r01:o1:live,30,instance_012,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_012:r01:o2:no_cut,30,instance_012,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_013:r01:o1:no_cut,30,instance_013,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_013:r01:o2:live,30,instance_013,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_014:r01:o1:live,30,instance_014,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_014:r01:o2:no_cut,30,instance_014,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_015:r01:o1:no_cut,30,instance_015,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_015:r01:o2:live,30,instance_015,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_016:r01:o1:live,30,instance_016,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_016:r01:o2:no_cut,30,instance_016,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_017:r01:o1:no_cut,30,instance_017,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_017:r01:o2:live,30,instance_017,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_018:r01:o1:live,30,instance_018,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_018:r01:o2:no_cut,30,instance_018,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_019:r01:o1:no_cut,30,instance_019,1,no_cut/live,1,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_019:r01:o2:live,30,instance_019,1,no_cut/live,2,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_020:r01:o1:live,30,instance_020,1,live/no_cut,1,live,DRY_RUN,0,,False,False,,,,,,,,,,,
s030:instance_020:r01:o2:no_cut,30,instance_020,1,live/no_cut,2,no_cut,DRY_RUN,0,,False,False,,,,,,,,,,,
