scale,instance,instance_id,max_direct_tasks,b0_status,b0_objective,b0_wall,b3_status,b3_exact_status,b3_scope,pricing_state,b3_lb,b3_ub,b3_gap,objective_diff_vs_b0,objective_match_tolerance,node_count,open_node_count,incomplete_node_count,expanded_node_count,closed_node_count,root_node_status,root_integral,b3_wall,issues
5,instance_011_logical_graph.json,lunar_ice_sp50_005_011_seed679017,5,DIRECT_DP_BASELINE_OPTIMAL,1432.954994,0.00548,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1432.954994,1432.954994,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.426837,
5,instance_012_logical_graph.json,lunar_ice_sp50_005_012_seed679018,5,DIRECT_DP_BASELINE_OPTIMAL,1431.520203,0.011541,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1431.520203,1431.520203,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.475021,
5,instance_013_logical_graph.json,lunar_ice_sp50_005_013_seed679019,5,DIRECT_DP_BASELINE_OPTIMAL,1573.234918,0.005415,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1573.234918,1573.234918,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.390544,
5,instance_014_logical_graph.json,lunar_ice_sp50_005_014_seed679020,5,DIRECT_DP_BASELINE_OPTIMAL,1544.987555,0.007291,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1544.987555,1544.987555,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.387615,
5,instance_015_logical_graph.json,lunar_ice_sp50_005_015_seed679021,5,DIRECT_DP_BASELINE_OPTIMAL,1529.573117,0.003669,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1529.573117,1529.573117,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.240383,
5,instance_016_logical_graph.json,lunar_ice_sp50_005_016_seed679062,5,DIRECT_DP_BASELINE_OPTIMAL,1071.627935,0.004286,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1071.627935,1071.627935,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.218603,
5,instance_017_logical_graph.json,lunar_ice_sp50_005_017_seed679123,5,DIRECT_DP_BASELINE_OPTIMAL,1255.420499,0.007039,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1255.420499,1255.420499,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.318598,
5,instance_018_logical_graph.json,lunar_ice_sp50_005_018_seed679064,5,DIRECT_DP_BASELINE_OPTIMAL,956.173707,0.00731,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,956.173707,956.173707,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.345165,
5,instance_019_logical_graph.json,lunar_ice_sp50_005_019_seed679025,5,DIRECT_DP_BASELINE_OPTIMAL,1158.248056,0.004572,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1158.248056,1158.248056,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.283315,
5,instance_020_logical_graph.json,lunar_ice_sp50_005_020_seed679026,5,DIRECT_DP_BASELINE_OPTIMAL,1330.682244,0.005164,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,1330.682244,1330.682244,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.296748,
10,instance_001_logical_graph.json,lunar_ice_sp50_010_001_seed729001,10,DIRECT_DP_BASELINE_OPTIMAL,2931.301573,0.057507,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2931.301573,2931.301573,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.800639,
10,instance_002_logical_graph.json,lunar_ice_sp50_010_002_seed729002,10,DIRECT_DP_BASELINE_OPTIMAL,2458.986666,0.061421,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2458.986666,2458.986666,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.475359,
10,instance_003_logical_graph.json,lunar_ice_sp50_010_003_seed729023,10,DIRECT_DP_BASELINE_OPTIMAL,2824.685922,0.085403,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2824.685922,2824.685922,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.781212,
10,instance_004_logical_graph.json,lunar_ice_sp50_010_004_seed729004,10,DIRECT_DP_BASELINE_OPTIMAL,2434.053897,0.11846,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2434.053897,2434.053897,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.034166,
10,instance_005_logical_graph.json,lunar_ice_sp50_010_005_seed729045,10,DIRECT_DP_BASELINE_OPTIMAL,2205.952701,0.260764,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2205.952701,2205.952701,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.857142,
10,instance_006_logical_graph.json,lunar_ice_sp50_010_006_seed729086,10,DIRECT_DP_BASELINE_OPTIMAL,2454.011928,0.093899,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2454.011928,2454.011928,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.796041,
10,instance_007_logical_graph.json,lunar_ice_sp50_010_007_seed729007,10,DIRECT_DP_BASELINE_OPTIMAL,2223.951295,0.124854,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2223.951295,2223.951295,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.922377,
10,instance_008_logical_graph.json,lunar_ice_sp50_010_008_seed729068,10,DIRECT_DP_BASELINE_OPTIMAL,2433.224938,0.118605,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2433.224938,2433.224938,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.27422,
10,instance_009_logical_graph.json,lunar_ice_sp50_010_009_seed729069,10,DIRECT_DP_BASELINE_OPTIMAL,2569.755376,0.164739,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2569.755376,2569.755376,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.154304,
10,instance_010_logical_graph.json,lunar_ice_sp50_010_010_seed729010,10,DIRECT_DP_BASELINE_OPTIMAL,3015.878029,0.326213,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,3015.878029,3015.878029,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,2.827351,
10,instance_011_logical_graph.json,lunar_ice_sp50_010_011_seed729011,10,DIRECT_DP_BASELINE_OPTIMAL,2652.097258,0.290052,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2652.097258,2652.097258,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,2.231984,
10,instance_012_logical_graph.json,lunar_ice_sp50_010_012_seed729072,10,DIRECT_DP_BASELINE_OPTIMAL,2680.802367,0.135801,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2680.802367,2680.802367,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.443145,
10,instance_013_logical_graph.json,lunar_ice_sp50_010_013_seed729053,10,DIRECT_DP_BASELINE_OPTIMAL,3221.96506,0.287143,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,3221.96506,3221.96506,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,2.171084,
10,instance_014_logical_graph.json,lunar_ice_sp50_010_014_seed729034,10,DIRECT_DP_BASELINE_OPTIMAL,2897.486857,0.114759,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2897.486857,2897.486857,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.089495,
10,instance_015_logical_graph.json,lunar_ice_sp50_010_015_seed729015,10,DIRECT_DP_BASELINE_OPTIMAL,2357.37971,0.20084,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2357.37971,2357.37971,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.962283,
10,instance_016_logical_graph.json,lunar_ice_sp50_010_016_seed729016,10,DIRECT_DP_BASELINE_OPTIMAL,2597.132924,0.068118,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2597.132924,2597.132924,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.898288,
10,instance_017_logical_graph.json,lunar_ice_sp50_010_017_seed729037,10,DIRECT_DP_BASELINE_OPTIMAL,2381.630609,0.086323,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2381.630609,2381.630609,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.774702,
10,instance_018_logical_graph.json,lunar_ice_sp50_010_018_seed729118,10,DIRECT_DP_BASELINE_OPTIMAL,2632.80288,0.140399,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2632.80288,2632.80288,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,1.286953,
10,instance_019_logical_graph.json,lunar_ice_sp50_010_019_seed729039,10,DIRECT_DP_BASELINE_OPTIMAL,2624.591118,0.10625,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2624.591117,2624.591117,0.0,-1e-06,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.810531,
10,instance_020_logical_graph.json,lunar_ice_sp50_010_020_seed729040,10,DIRECT_DP_BASELINE_OPTIMAL,2450.749173,0.121556,BPC_OPTIMAL,BPC_TREE_OPTIMAL,BPC_TREE_OPTIMAL,CERTIFIED_NO_NEGATIVE,2450.749173,2450.749173,0.0,0.0,True,1,0,0,0,1,INTEGER_INCUMBENT,True,0.982325,
