timestamp_utc,scale,instance_id,attempt,root_pid,tree_rss_kb,mem_available_kb,swap_free_kb,swap_total_kb,disk_free_bytes
2026-07-22T02:55:18.761416+00:00,10,instance_008_logical_graph,1,1299021,0,13301000,4191976,4194304,882355535872
2026-07-22T02:55:18.817917+00:00,10,instance_009_logical_graph,1,1299339,6124,13299964,4191976,4194304,882355523584
2026-07-22T02:55:20.820031+00:00,10,instance_009_logical_graph,1,1299339,0,13299804,4191976,4194304,882354860032
2026-07-22T02:55:20.879550+00:00,10,instance_010_logical_graph,1,1299927,6236,13302220,4191976,4194304,882354843648
2026-07-22T02:55:22.881737+00:00,10,instance_010_logical_graph,1,1299927,0,13296828,4191976,4194304,882354081792
2026-07-22T02:55:22.940425+00:00,10,instance_011_logical_graph,1,1300501,5904,13296184,4191976,4194304,882354069504
2026-07-22T02:55:24.942520+00:00,10,instance_011_logical_graph,1,1300501,0,13297776,4191976,4194304,882353393664
2026-07-22T02:55:25.009582+00:00,10,instance_012_logical_graph,1,1301103,6108,13297108,4191976,4194304,882353381376
2026-07-22T02:55:26.011702+00:00,10,instance_012_logical_graph,1,1301103,0,13290588,4191976,4194304,882352721920
2026-07-22T02:55:26.079914+00:00,10,instance_013_logical_graph,1,1301419,6284,13293144,4191976,4194304,882352709632
2026-07-22T02:55:28.082004+00:00,10,instance_013_logical_graph,1,1301419,0,13293612,4191976,4194304,882352009216
2026-07-22T02:55:28.152580+00:00,10,instance_014_logical_graph,1,1302021,6408,13298284,4191976,4194304,882351992832
2026-07-22T02:55:29.154801+00:00,10,instance_014_logical_graph,1,1302021,0,13296500,4191976,4194304,882351263744
2026-07-22T02:55:29.228710+00:00,10,instance_015_logical_graph,1,1302340,6360,13297764,4191976,4194304,882351247360
2026-07-22T02:55:31.230984+00:00,10,instance_015_logical_graph,1,1302340,0,13300436,4191976,4194304,882350538752
2026-07-22T02:55:31.307660+00:00,10,instance_016_logical_graph,1,1302946,6020,13295164,4191976,4194304,882350526464
2026-07-22T02:55:32.309819+00:00,10,instance_016_logical_graph,1,1302946,0,13294384,4191976,4194304,882349793280
2026-07-22T02:55:32.385388+00:00,10,instance_017_logical_graph,1,1303257,6112,13300712,4191976,4194304,882349780992
2026-07-22T02:55:33.387451+00:00,10,instance_017_logical_graph,1,1303257,0,13295108,4191976,4194304,882349219840
2026-07-22T02:55:33.467761+00:00,10,instance_018_logical_graph,1,1303583,5764,13292052,4191976,4194304,882349199360
2026-07-22T02:55:34.469911+00:00,10,instance_018_logical_graph,1,1303583,0,13287004,4191976,4194304,882348642304
2026-07-22T02:55:34.550925+00:00,10,instance_019_logical_graph,1,1303907,6036,13284744,4191976,4194304,882348630016
2026-07-22T02:55:36.553000+00:00,10,instance_019_logical_graph,1,1303907,0,13290908,4191976,4194304,882347548672
2026-07-22T02:55:36.638795+00:00,10,instance_020_logical_graph,1,1304510,6008,13285376,4191976,4194304,882347536384
2026-07-22T02:55:37.640880+00:00,10,instance_020_logical_graph,1,1304510,0,13282008,4191976,4194304,882346708992
2026-07-22T02:55:37.733313+00:00,20,instance_001_logical_graph,1,1304823,6364,13288576,4191976,4194304,882346692608
2026-07-22T02:55:47.690359+00:00,20,instance_001_logical_graph,1,1304823,0,13286488,4191976,4194304,882343276544
2026-07-22T02:55:47.781457+00:00,20,instance_002_logical_graph,1,1306745,5832,13279708,4191976,4194304,882343264256
2026-07-22T02:55:52.783862+00:00,20,instance_002_logical_graph,1,1306745,0,13281396,4191976,4194304,882340245504
2026-07-22T02:55:52.880406+00:00,20,instance_003_logical_graph,1,1308194,5956,13279804,4191976,4194304,882340229120
2026-07-22T02:56:14.883852+00:00,20,instance_003_logical_graph,1,1308194,0,13289588,4191976,4194304,882336563200
2026-07-22T02:56:14.991202+00:00,20,instance_004_logical_graph,1,1314132,5024,13292036,4191976,4194304,882336550912
2026-07-22T02:56:36.957857+00:00,20,instance_004_logical_graph,1,1314132,0,13283664,4191976,4194304,882334167040
