active_column_count,algorithm_status,best_reduced_cost,bpc_tree_optimal,certificate_scope,columns_added,end_to_end_stage_sum_sec,end_to_end_wall_time_sec,exact_certificate,final_judge_formulation_profile,final_judge_profile,final_judge_wall_time_sec,global_remaining_rc_lb,instance_index,instance_key,instance_path,mip_node_count,note,phase,pool_active_column_count,pool_added_column_count_last_stage,pool_build_wall_time_sec,pool_certified,pool_elapsed_stage_sum_sec,pool_phase_mode,pool_profile,pool_stage_count,pricing_proof_kind,pricing_state,profile,profile_phase_mode,result_json,round_count,row_wall_time_sec,simplex_iteration_count,source_probe_json,strict_from_json,tight_sequence_count,tight_sequence_max_reduction,tree_optimal,wall_time_sec
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_008,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_008_logical_graph.json,,,pool_build,39,5,66.619826,False,66.292305,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_008/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,8,instance_008,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_008_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,66.619826,,66.292305,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_008/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,8,instance_008,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_008_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,66.619826,,66.292305,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_008/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_009,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_009_logical_graph.json,,,pool_build,39,5,70.815576,False,70.482692,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_009/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,9,instance_009,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_009_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,70.815576,,70.482692,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_009/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,9,instance_009,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_009_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,70.815576,,70.482692,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_009/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_010,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_010_logical_graph.json,,,pool_build,39,5,60.088018,False,59.757404,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_010/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,10,instance_010,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_010_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,60.088018,,59.757404,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_010/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,10,instance_010,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_010_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,60.088018,,59.757404,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_010/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_011,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_011_logical_graph.json,,,pool_build,39,5,176.905082,False,176.547348,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_011/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,11,instance_011,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_011_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,176.905082,,176.547348,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_011/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,11,instance_011,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_011_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,176.905082,,176.547348,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_011/stage_001/probe.json,True,,,False,
